sku,qty,est_cost,supplier,lead_time_days,day_generated,arrival_day
QUENCHER 1LT DRINKING WATER,19,732.3902037079424,EXCEL CHEMICALS LTD,2,6,9
EMBASSY BY DUNHILL BLUE 20S,15,5520.015184631313,NOBLE OUTLOOK LIMITED,2,6,9
COKE 330ML CAN,10,780.4381290704561,COCA COLA BEVERAGES KENYA LTD,2,6,9
COCA COLA 300ML,7,224.0,COCA COLA BEVERAGES KENYA LTD,2,6,9
SCHWEPPES SODA WATER 500ML PET,8,484.29067886035887,COCA COLA BEVERAGES KENYA LTD,2,6,9
MAYERS 1L SPARKLING WATER PLASTIC,8,615.8940727902947,MALACHITE LIMITED,2,6,9
DL 37G FILLED CHOCOLATES MINT CHOC,7,390.21561147619815,GLACIER PRODUCTS LTD 2ND,2,6,9
SPRITE PET 350ML,7,272.3299685476411,COCA COLA BEVERAGES KENYA LTD,2,6,9
OLA 40G CHEESE CRUNCH TORTILA CHIPS,8,412.29302736098856,PROPACK KENYA LTD,2,6,9
GUINNESS 500ML CAN,8,1463.6243731829031,KENYA BREWERIES LTD,2,6,9
TUSKER LITE 500ML CAN,9,1861.713450726979,KENYA BREWERIES LTD,2,6,9
SPRITE PET 500ML,5,264.3724104313917,COCA COLA BEVERAGES KENYA LTD,2,6,9
ISINYA 30S EGGS,8,3464.211086474501,ISINYA FEEDS LIMITED,2,6,9
OLA 40G MEXICAN CRUNCH TORTILA CHIPS,8,412.5785123966943,PROPACK KENYA LTD,2,6,9
WRIGLEYS JUICY FRUIT 10S CLASSIC,6,127.99875679875682,RADBONE CLARK LIMITED MARS,2,6,9
COKE PET 2LTS,6,790.1761379971251,COCA COLA BEVERAGES KENYA LTD,2,6,9
WRIGLEYS P.K 10S CHEWING GUM PEPPERMINT,5,106.69354427149784,RADBONE CLARK LIMITED MARS,2,6,9
FANTA ORANGE PET 350ML,7,272.62411563731933,COCA COLA BEVERAGES KENYA LTD,2,6,9
URBAN STIX 35G BARBEQUE SNACKS,6,168.0,NORDA INDUSTRIES LTD.,2,6,9
HIGHLANDS 500ML MINERAL WATER,8,160.00271819919305,HIGHLANDS DRINKS LIMITED,2,6,9
GOLD CROWN 500ML ASEPTIC LONG LIFE 24,6,234.16634167019924,NEW KENYA COOP CREAMERIES  LTD,2,6,9
MAYERS 500ML SPARKLING WATER PLASTIC,5,297.3342776203966,MALACHITE LIMITED,2,6,9
KERINGET 1LT MINERAL WATER,6,416.96073059360737,COCA COLA BEVERAGES KENYA LTD,2,6,9
WRIGLEYS ORBIT 10S BUBBLEMINT SF,4,219.9294184397163,RADBONE CLARK LIMITED MARS,2,6,9
VELVEX 100S WHITE SERVIETTES,5,464.78158514255824,CHANDARIA INDUSTRIES  LTD,2,6,9
AQUAMIST 1LT MINERAL WATER,4,244.85548607163162,AQUAMIST LIMITED,2,6,9
ISINYA 15S EGGS,4,992.6768044187799,ISINYA FEEDS LIMITED,2,6,9
BIO 150ML STRAWBERRY YOGHURT,5,472.8864362474586,BIO FOOD PRODUCTS LTD,2,6,9
KABARNET 300ML MINERAL WATER,7,106.60300362506473,KHETIA DRAPERS LTD,2,6,9
BIO 150ML NATURAL YOGHURT,6,553.8685714285715,BIO FOOD PRODUCTS LTD,2,6,9
ILARA 500ML TNC PLAIN CUP,4,375.8444137931035,BROOKSIDE DAIRY LIMITED,2,6,9
SPRITE SODA PET 2LTS,3,369.69825923244025,COCA COLA BEVERAGES KENYA LTD,2,6,9
JIAN 30 PACK YELLOW YOLK EGGS,4,1572.3982641041537,JIAN CEREALS DEPOT,2,6,9
AJAB 2KG HOME BAKING FLOUR,17,2171.6280716196748,GRAIN INDUSTRIES LIMITED,2,7,10
FESTIVE 400G FINEST SUPER SEEDED BREAD,5,520.0010752688172,DPL FESTIVE  LIMITED,2,7,10
BROOKSIDE 1L LACTOSE FREE UHT MILK,5,696.8764103909735,BROOKSIDE DAIRY LIMITED,2,7,10
BROOKSIDE 1LT UHT LOWFAT MILK,5,611.6556291390727,BROOKSIDE DAIRY LIMITED,2,7,10
SUPA 400G BUTTER TOAST BREAD,5,260.0089963452347,MINI BAKERIES NBI  LTD,2,7,10
RINSUN 5LT SUNFLOWER OIL,3,3815.916351501669,KAPA OIL REFINERIES LTD,2,7,10
COCA COLA 300ML,9,288.0,COCA COLA BEVERAGES KENYA LTD,2,7,10
MAYERS 1L SPARKLING WATER PLASTIC,10,769.8675909878683,MALACHITE LIMITED,2,7,10
DL 37G FILLED CHOCOLATES MINT CHOC,9,501.7057861836833,GLACIER PRODUCTS LTD 2ND,2,7,10
SPRITE PET 350ML,10,389.0428122109159,COCA COLA BEVERAGES KENYA LTD,2,7,10
SPRITE PET 500ML,6,317.24689251767,COCA COLA BEVERAGES KENYA LTD,2,7,10
SPRITE 330ML CAN REGULAR,6,463.3383421516754,COCA COLA BEVERAGES KENYA LTD,2,7,10
DASANI 500ML MINERAL WATER,7,188.094530858003,COCA COLA BEVERAGES KENYA LTD,2,7,10
