sku,qty,est_cost,supplier,day_generated,arrival_day
BROOKSIDE 1LT UHT LOWFAT MILK,7,856.317880794702,BROOKSIDE DAIRY LIMITED,4,7
AJAB 2KG MAIZE MEAL FLOUR,4,496.8365092073659,GRAIN INDUSTRIES LIMITED,4,7
AMAIZE 2KG PREMIUM MAIZE FLOUR,5,732.6480231436836,CAPWELL INDUSTRIES LTD,4,7
AQUAMIST 300ML MINERAL WATER,36,883.4679637805883,AQUAMIST LIMITED,4,7
KERINGET 500ML MINERAL WATER,29,1302.5847055591173,COCA COLA BEVERAGES KENYA LTD,4,7
EMBASSY BY DUNHILL BLUE 20S,22,8096.022270792592,NOBLE OUTLOOK LIMITED,4,7
AQUAMIST 20LT MINERAL WATER,14,5907.686879823594,AQUAMIST LIMITED,4,7
TUSKER 500ML LAGER BEER,12,2006.4,KENYA BREWERIES LTD,4,7
COCA COLA 300ML EMPTY BOTTLE,11,132.0,COCA COLA BEVERAGES KENYA LTD,4,7
AQUAMIST 500ML SPARKLING WATER,10,551.1775470070727,AQUAMIST LIMITED,4,7
WHITE CAP 500ML LAGER BEER,14,2676.8,KENYA BREWERIES LTD,4,7
ISINYA 6S EGGS,13,1302.0602447824551,ISINYA FEEDS LIMITED,4,7
BIO 150ML VANILLA YOGHURT,11,1023.1395322731526,BIO FOOD PRODUCTS LTD,4,7
SPRITE PET 350ML,14,544.6599370952822,COCA COLA BEVERAGES KENYA LTD,4,7
SCHWEPPES SODA WATER 500ML PET,10,605.3633485754485,COCA COLA BEVERAGES KENYA LTD,4,7
KRACKLES BANG BANG CHILLI 30G,10,440.79393939393947,PROPACK KENYA LTD,4,7
GUINNESS 500ML CAN,12,2195.4365597743545,KENYA BREWERIES LTD,4,7
KRACKLES POTATO CRISP BBQ30G,14,611.1996904024768,PROPACK KENYA LTD,4,7
NESTLE 41.5G KITKAT 4 FINGER MILK,10,1336.6086369770583,GLACIER PRODUCTS LTD 2ND,4,7
BALOZI 500ML CAN,10,1644.2893586123437,KENYA BREWERIES LTD,4,7
HIGHLANDS 500ML MINERAL WATER,13,260.0044170736887,HIGHLANDS DRINKS LIMITED,4,7
ILARA 500ML MAZIWA LALA,10,720.0,BROOKSIDE DAIRY LIMITED,4,7
ISINYA 30S EGGS,7,3031.1847006651883,ISINYA FEEDS LIMITED,4,7
KRACKLES CHEESE & ONION 30G,9,398.94448252227556,PROPACK KENYA LTD,4,7
OLA 40G CHEESE CRUNCH TORTILA CHIPS,9,463.82965578111214,PROPACK KENYA LTD,4,7
URBAN STIX 35G BARBEQUE SNACKS,10,280.0,NORDA INDUSTRIES LTD.,4,7
GOLD CROWN 500ML ASEPTIC LONG LIFE 24,7,273.19406528189916,NEW KENYA COOP CREAMERIES  LTD,4,7
