sku,qty,est_cost,supplier,lead_time_days,day_generated,arrival_day
BIO 200ML GREEK STYLE YOGHURT VANILLA,163,22461.701851851853,BIO FOOD PRODUCTS LTD,2,1,4
LEADAV YELLOW YOLK EGGS 30PACK TRAY,151,58953.004851752026,LEADAV POULTRY FARM LTD,2,1,4
KNORR 51G 6S CHICKEN CUBES,135,10178.356196644098,UNILEVER KENYA LIMITED,2,1,4
ILARA 500ML TNC PLAIN CUP,156,14657.932137931037,BROOKSIDE DAIRY LIMITED,2,1,4
GOLD CROWN 500ML ASEPTIC LONG LIFE 24,149,5815.130818143281,NEW KENYA COOP CREAMERIES  LTD,2,1,4
LYONS 60ML TOFF N CHOCO W NUTS STICKLINE,146,8027.233684210527,RAZCO LTD,2,1,4
AQUAMIST 1.5LT MINERAL WATER,131,9668.03746223565,AQUAMIST LIMITED,2,1,4
BROOKSIDE 1L NATURAL LALA BOTTLE,152,20064.12813487882,BROOKSIDE DAIRY LIMITED,2,1,4
KRAC KURLS 25G TANGY CHEESE,120,3752.593886462882,PROPACK KENYA LTD,2,1,4
AQUAMIST 5LT MINERAL WATER,126,21573.90533286859,AQUAMIST LIMITED,2,1,4
FANTA BLACK CURRANT 350ML PET,127,4936.299436899636,COCA COLA BEVERAGES KENYA LTD,2,1,4
SOFTLEAF 10S VIRGIN TOILET PAPER,111,38349.36511755058,KAPA OIL REFINERIES LTD,2,1,4
BIO 150ML BERRY COCKTAIL YOGHURT,144,12844.135895465028,BIO FOOD PRODUCTS LTD,2,1,4
7 UP 300ML,106,5638.172067018161,SBC KENYA LIMITED,2,1,4
BIO 150ML MANGO YOGHURT,141,13352.97011494253,BIO FOOD PRODUCTS LTD,2,1,4
KABARNET 300ML MINERAL WATER,125,1903.6250647332988,KHETIA DRAPERS LTD,2,1,4
BROOKSIDE 500G SALTED BUTTER,135,81123.31854199682,BROOKSIDE DAIRY LIMITED,2,1,4
KENSALT 1KG IODIZED SALT,113,3734.0964637681163,KENSALT LIMITED,2,1,4
FANTA ORANGE PET 2LTS,133,16330.54692843572,COCA COLA BEVERAGES KENYA LTD,2,1,4
OXYRICH 1L SPRING WATER,116,4325.953776630085,AQUAMIST LIMITED,2,1,4
CARTOONS 30G TANGY TOMATO CRISPS,111,4998.8706051873205,PROPACK KENYA LTD,2,1,4
BLUE BAND 500G MED FAT SPREAD,100,21961.80125543216,SUPER SAVERS DISTRIBUTION LTD,2,1,4
ROTHMANS SWITCH BLUE 20S,108,31536.068489892983,NOBLE OUTLOOK LIMITED,2,1,4
COKE ZERO 2L PET,130,17220.225201072386,COCA COLA BEVERAGES KENYA LTD,2,1,4
AQUACLEAR 500ML MINERAL WATER,128,3202.9666565809384,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,2,1,4
LEADAV YELLOW YOLK EGGS 6PACK,125,41143.08588912363,LEADAV POULTRY FARM LTD,2,1,4
KRAC KURLS 25G CHILLI LEMON,116,3627.1843566679713,PROPACK KENYA LTD,2,1,4
LAKI LAKI 150ML GREEK YOGHURT NATURAL,128,11776.0,LAKI LAKI LIMITED,2,1,4
OREO 55.2G ORIGINAL COOKIES,118,6486.604377466811,HASBAH KENYA LTD CADBURY,2,1,4
SPRITE SODA PET 2LTS,120,14787.93036929761,COCA COLA BEVERAGES KENYA LTD,2,1,4
DAIMA 500ML NATURAL PROBIOTIC CUP,129,12222.58115183246,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,2,1,4
FANTA PASSION 500ML PET,121,6438.754025127967,COCA COLA BEVERAGES KENYA LTD,2,1,4
KENSALT 2KG IODIZED SALT,91,5701.686645250115,KENSALT LIMITED,2,1,4
HIGHLANDS 500ML MINERAL WATER,118,2360.0400934380978,HIGHLANDS DRINKS LIMITED,2,1,4
VELVEX SERVIETTES 200S VALUE PACK,115,10689.97645827884,CHANDARIA INDUSTRIES  LTD,2,1,4
SMIRNOFF 330ML PINEAPPLE PUNCH ICE CAN,90,14550.341262458473,UDV KENYA LIMITED,2,1,4
BROOKSIDE 250G PROBIOTIC FRUIT CUP YOGHURT VANILLA,121,8990.236030906874,BROOKSIDE DAIRY LIMITED,2,1,4
ISINYA 12S EGGS,114,22997.777138697937,ISINYA FEEDS LIMITED,2,1,4
QUENCHER 18L MIN WATER PET,93,37834.40909607732,EXCEL CHEMICALS LTD,2,1,4
STONEY ZERO 500ML  PET,110,5850.933277094318,COCA COLA BEVERAGES KENYA LTD,2,1,4
BROOKSIDE 250ML STRAWBERRY,115,6311.360298693217,BROOKSIDE DAIRY LIMITED,2,1,4
FC 500G (14D) FRESH SAFARI BEEF SAUSAGE,100,29294.77234401349,FARMERS CHOICE LTD,2,1,4
BIO 90ML VANILLA,109,6888.8,BIO FOOD PRODUCTS LTD,2,1,4
HEINEKEN 500ML CAN BEER,89,20265.0947082768,KENYA WINE AGENCIES KWAL,2,1,4
OREO 128G ORIGINAL,92,11405.357948717949,HASBAH KENYA LTD CADBURY,2,1,4
MAYERS 500ML STILL MINERAL WATER,102,3906.0959829363674,MALACHITE LIMITED,2,1,4
BROOKSIDE 250G NATURAL PROBIOTIC YOGHURT,113,8397.941249296568,BROOKSIDE DAIRY LIMITED,2,1,4
SUNRICE 2KG RICE BASMATI,73,35781.30178480367,KRISH COMMODITIES LTD,2,1,4
DL 70ML MINI FIESTA CARAMEL N NUTS,93,5135.858084772371,GLACIER PRODUCTS LTD G P,2,1,4
